-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,-1,1,1,-1,1,-1,-2.75,15866,-0.026965793016448077,1.56918680335,0.0
-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,1,1,-1,1,1,-1,-0.75,12542,-9.936631766611464e-05,4.00276080404,0.0
-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,1,-3.25,15617,-0.04706962234992221,1.32725928612,0.0
1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,-2.25,33690,-0.0012602218812822012,2.89955298398,0.0
-1,1,-1,1,1,-1,1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,-2.25,16775,-0.02625880449540313,1.58072505025,0.0
1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,-1,-2.25,31835,0.0075000150347536675,2.12493786601,1.0
1,-1,1,-1,-1,-1,1,1,1,-1,-1,1,-1,1,-1,1,-1,1,-1.75,31431,0.0075742914922808866,2.12065798532,1.0
1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,1,-1,1,-1,-1,1,-1.75,39190,0.006494543548997434,2.1874513667,1.0
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-4.25,33098,-0.17644293540376138,0.753395725667,0.0
1,-1,-1,1,-1,1,1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,-1.25,28670,-0.00926760033138022,2.03303270358,0.0
-1,1,1,-1,-1,1,-1,1,-1,1,1,-1,-1,1,1,-1,1,-1,-1.75,18976,0.013524320292185163,1.86888455253,1.0
-1,1,1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,-0.25,18496,0.0011056374117046574,2.9563872744,1.0
-1,1,1,-1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,-1.25,18989,0.003037436776644758,2.51749275301,1.0
-1,1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,1,1,-1,1,-1,-1.75,16413,0.00819479040785384,2.08646214958,1.0
-1,1,1,1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1.25,22114,-0.00010063223053575473,3.99726290097,0.0
